Detected CPU features: mmx sse sse2 sse3 ssse3 sse4.1 sse4.2 popcnt avx avx2
bpp v4.8.7_macos_x86_64, 128GB RAM, 36 cores
https://github.com/bpp/bpp

Auto-selected SIMD ISA: AVX2


Starting timer..
Seed: 1156397925 (randomly generated)
Parsing species tree... Done
Parsing phylip file... Done

Summary of alignments *before* phasing sequences:
 Locus | Model | Sequences | Length | Ambiguous sites | Compressed | Base freqs 
   229 |  JC69 |        18 |     84 |               1 |          2 |      Fixed 
   230 |  JC69 |        20 |    210 |              81 |         12 |      Fixed 
   231 |  JC69 |         3 |    276 |              16 |         12 |      Fixed 
   232 |  JC69 |        17 |    266 |              58 |         15 |      Fixed 
   233 |  JC69 |         3 |    274 |              23 |          5 |      Fixed 
   234 |  JC69 |         6 |    171 |               0 |          1 |      Fixed 
   235 |  JC69 |        20 |     80 |               3 |          4 |      Fixed 
   236 |  JC69 |         7 |    329 |              14 |         10 |      Fixed 
   237 |  JC69 |         2 |    406 |             126 |          4 |      Fixed 
   238 |  JC69 |        18 |     49 |               4 |          4 |      Fixed 
   239 |  JC69 |        20 |    150 |              58 |         11 |      Fixed 
   240 |  JC69 |         3 |    144 |               0 |          1 |      Fixed 
   241 |  JC69 |         2 |    195 |               0 |          1 |      Fixed 
   242 |  JC69 |        18 |    215 |              86 |          9 |      Fixed 
   243 |  JC69 |        17 |    271 |              20 |         15 |      Fixed 
   244 |  JC69 |        20 |    195 |               7 |          7 |      Fixed 
   245 |  JC69 |         2 |    278 |               0 |          1 |      Fixed 
   246 |  JC69 |        18 |    727 |             619 |         21 |      Fixed 
   247 |  JC69 |        19 |    440 |             157 |         17 |      Fixed 
   248 |  JC69 |         5 |    231 |               5 |          5 |      Fixed 
   249 |  JC69 |         3 |     53 |               0 |          1 |      Fixed 
   250 |  JC69 |        20 |    106 |               8 |          7 |      Fixed 
   251 |  JC69 |        20 |    201 |              11 |          4 |      Fixed 
   252 |  JC69 |         7 |     44 |               3 |          2 |      Fixed 
   253 |  JC69 |        20 |    146 |               8 |          7 |      Fixed 
   254 |  JC69 |        20 |    154 |               4 |          4 |      Fixed 
   255 |  JC69 |         4 |     74 |              31 |          3 |      Fixed 
   256 |  JC69 |         4 |    277 |             102 |          7 |      Fixed 
   257 |  JC69 |        17 |    150 |               1 |          2 |      Fixed 
   258 |  JC69 |         2 |    285 |             126 |          5 |      Fixed 
   259 |  JC69 |        17 |    148 |               7 |          6 |      Fixed 
   260 |  JC69 |        14 |    109 |              11 |          4 |      Fixed 
   261 |  JC69 |        15 |    159 |               5 |          6 |      Fixed 
   262 |  JC69 |         6 |    284 |              21 |         12 |      Fixed 
   263 |  JC69 |        11 |    246 |              14 |         11 |      Fixed 
   264 |  JC69 |         6 |     45 |              11 |          5 |      Fixed 
   265 |  JC69 |        20 |    302 |             103 |         10 |      Fixed 
   266 |  JC69 |         9 |     97 |               1 |          2 |      Fixed 
   267 |  JC69 |        13 |    142 |               1 |          2 |      Fixed 
   268 |  JC69 |        20 |    178 |               4 |          5 |      Fixed 
   269 |  JC69 |         7 |    256 |              16 |         12 |      Fixed 
   270 |  JC69 |        20 |    146 |               2 |          3 |      Fixed 
   271 |  JC69 |         6 |    281 |              93 |         23 |      Fixed 
   272 |  JC69 |        17 |     47 |               3 |          4 |      Fixed 
   273 |  JC69 |        16 |    120 |               5 |          6 |      Fixed 
   274 |  JC69 |         5 |     75 |               1 |          2 |      Fixed 
   275 |  JC69 |        10 |    282 |              29 |         11 |      Fixed 
   276 |  JC69 |         3 |    162 |               4 |          2 |      Fixed 
   277 |  JC69 |        10 |    281 |              66 |         16 |      Fixed 
   278 |  JC69 |        19 |    108 |               6 |          7 |      Fixed 
   279 |  JC69 |        15 |     64 |               2 |          3 |      Fixed 
   280 |  JC69 |        13 |     48 |               2 |          3 |      Fixed 
   281 |  JC69 |        20 |     49 |               4 |          4 |      Fixed 
   282 |  JC69 |        15 |    227 |             105 |          6 |      Fixed 
   283 |  JC69 |        17 |    473 |             144 |         16 |      Fixed 
   284 |  JC69 |        12 |     58 |               3 |          4 |      Fixed 
   285 |  JC69 |        19 |    146 |               6 |          7 |      Fixed 
   286 |  JC69 |        13 |     95 |               0 |          1 |      Fixed 
   287 |  JC69 |        16 |    294 |              68 |         11 |      Fixed 
   288 |  JC69 |        20 |    209 |              68 |          8 |      Fixed 
   289 |  JC69 |         9 |    334 |               9 |          9 |      Fixed 
   290 |  JC69 |         4 |    138 |               1 |          2 |      Fixed 
   291 |  JC69 |        20 |    147 |               7 |          8 |      Fixed 
   292 |  JC69 |         7 |    209 |              22 |          7 |      Fixed 
   293 |  JC69 |         8 |    207 |              80 |          4 |      Fixed 
   294 |  JC69 |        17 |     67 |               7 |          8 |      Fixed 
   295 |  JC69 |        17 |    168 |               6 |          7 |      Fixed 
   296 |  JC69 |        19 |    640 |             491 |         30 |      Fixed 
   297 |  JC69 |         2 |    280 |              17 |          8 |      Fixed 
   298 |  JC69 |        19 |    754 |             631 |         28 |      Fixed 
   299 |  JC69 |         2 |    298 |              68 |          3 |      Fixed 
   300 |  JC69 |        20 |    190 |               7 |          7 |      Fixed 
   301 |  JC69 |        17 |    570 |             182 |         34 |      Fixed 
   302 |  JC69 |        14 |     61 |               0 |          1 |      Fixed 
   303 |  JC69 |        15 |     62 |              19 |          2 |      Fixed 
   304 |  JC69 |        11 |    235 |              11 |          7 |      Fixed 
   305 |  JC69 |        14 |     65 |               3 |          2 |      Fixed 
   306 |  JC69 |         3 |    377 |             113 |          6 |      Fixed 
   307 |  JC69 |        16 |    290 |             153 |          6 |      Fixed 
   308 |  JC69 |         6 |    463 |              10 |          9 |      Fixed 
   309 |  JC69 |         3 |     80 |               1 |          2 |      Fixed 
   310 |  JC69 |         4 |    254 |              47 |          9 |      Fixed 
   311 |  JC69 |         2 |    285 |              13 |          4 |      Fixed 
   312 |  JC69 |        19 |    574 |             443 |         20 |      Fixed 
   313 |  JC69 |        12 |    407 |             116 |         15 |      Fixed 
   314 |  JC69 |         4 |    281 |               9 |          7 |      Fixed 
