Gen	theta:1:ajan	theta:2:alas	theta:3:R	tau:3:R	W:1->2:ajan->alas	W:2->1:alas->ajan	lnL
6560	0.007594	0.009533	0.003462	0.000558	502.753342	1208.070103	-550947.608
6580	0.007613	0.009445	0.003641	0.000552	538.370176	1235.814837	-550831.147
6600	0.007902	0.009624	0.003711	0.000572	519.440909	1260.795356	-550874.630
6620	0.006517	0.010316	0.003414	0.000543	498.631175	1326.587745	-550856.731
6640	0.006586	0.010326	0.003577	0.000573	445.709000	1199.720708	-550765.222
6660	0.006344	0.009851	0.003624	0.000541	483.983060	1253.616207	-550768.009
6680	0.007378	0.010319	0.003462	0.000561	394.241818	1150.131102	-550970.568
6700	0.007198	0.010931	0.003488	0.000578	388.164073	1080.720136	-550892.921
6720	0.007129	0.010006	0.003672	0.000550	411.144427	1110.372251	-550887.789
6740	0.007133	0.010064	0.003471	0.000555	389.221545	1151.084480	-550839.401
6760	0.007305	0.010002	0.003589	0.000567	375.368965	1123.867543	-551012.279
6780	0.007175	0.009554	0.003426	0.000558	444.541191	1124.008851	-550909.573
6800	0.006867	0.009975	0.003511	0.000575	385.051842	1118.441017	-550759.223
6820	0.006526	0.009495	0.003526	0.000550	469.731833	1143.166391	-550834.005
6840	0.006354	0.009468	0.003638	0.000580	482.103504	1130.085063	-550861.904
6860	0.006801	0.009550	0.003589	0.000562	487.079497	1106.426396	-550809.786
6880	0.007038	0.009567	0.003488	0.000545	508.151590	1113.826022	-550820.703
6900	0.007215	0.009918	0.003444	0.000577	446.221051	1104.209677	-550839.549
