Gen	theta:1_a1:ajan_a1	theta:1_b1:ajan_b1	theta:2_a1:alas_a1	theta:2_b1:alas_b1	theta:3_a1:R_a1	theta:3_b1:R_b1	W:1->2_a1:ajan->alas_a1	W:1->2_b1:ajan->alas_b1	W:2->1_a1:alas->ajan_a1	W:2->1_b1:alas->ajan_b1
516260	6072.9	36.85388	9338.6	100.71682	15940.7	52.88091	6565.0	7.89	10643.0	4.66
516280	6116.8	36.69483	9290.4	97.10240	15944.7	53.77195	6613.0	7.65	10481.0	4.61
516300	6063.9	37.20319	9246.8	102.25931	16041.6	52.79775	6466.0	7.97	10455.0	4.71
516320	6363.6	36.61676	8943.8	98.71125	16044.6	52.82502	6935.0	7.78	10479.0	4.65
516340	6285.6	36.52608	9228.7	100.38933	15837.7	53.15914	6529.0	7.88	10350.0	4.65
516360	6516.6	37.79192	8999.2	103.82077	15836.7	53.22468	6465.0	8.16	10141.0	4.81
516380	6539.5	36.91294	8396.1	105.66683	16417.6	52.41018	6437.0	8.13	9936.0	4.71
516400	6455.7	37.76198	7938.8	97.28429	16958.6	54.48255	6459.0	7.47	9564.0	4.61
516420	6531.9	40.37027	7642.4	99.62367	17179.6	56.63439	7063.0	7.68	9576.0	4.86
516440	6655.0	41.53241	7964.6	95.89560	16733.7	56.89799	6774.0	7.58	9284.0	4.97
516460	6525.2	42.23604	8137.6	98.10372	16690.6	55.09749	7110.0	7.73	9710.0	5.05
516480	6858.7	40.30796	7991.3	102.78731	16503.5	52.36543	6635.0	8.03	9266.0	4.99
516500	6769.6	39.09636	8162.0	102.27882	16421.7	54.92939	6665.0	7.96	9594.0	4.87
516520	6850.4	37.68635	8046.9	99.13922	16455.7	55.57289	6430.0	7.74	9332.0	4.72
516540	6456.8	39.11608	8362.3	96.75459	16533.7	56.27007	6372.0	7.61	9443.0	4.78
516560	6954.6	40.39047	8108.5	96.32868	16289.7	54.93046	6887.0	7.67	9473.0	4.91
516580	6438.2	41.67766	8319.5	99.26839	16595.7	55.34014	7034.0	7.85	10007.0	5.03
516600	6586.4	44.30304	8580.1	97.25789	16186.6	53.26509	7232.0	7.92	9890.0	5.33
516620	7050.8	42.35518	8811.3	91.64439	15489.6	50.93561	7211.0	7.67	9555.0	5.15
516640	6945.9	42.97012	8667.9	96.53879	15738.6	50.23120	7359.0	7.94	9850.0	5.24
516660	6780.9	41.60878	8519.1	97.31321	16052.6	51.95682	7316.0	7.85	10039.0	5.08
516680	6620.0	41.81211	8631.0	96.62345	16101.6	51.40702	7276.0	7.79	10054.0	5.07
516700	6669.3	43.82123	8523.7	93.23963	16159.7	55.05249	7360.0	7.60	9796.0	5.18
516720	6420.7	45.61017	8548.9	94.74612	16383.6	54.26247	7590.0	7.73	10146.0	5.31
516740	6807.0	42.65743	8440.2	86.04676	16104.7	53.93141	7924.0	7.12	9976.0	5.00
516760	6342.7	45.54944	8485.3	87.82918	16524.8	57.82664	7906.0	7.23	10165.0	5.21
516780	6753.7	48.03528	7628.2	88.09878	16971.7	57.33330	8476.0	7.23	9882.0	5.34
516800	6658.4	44.59360	7948.6	85.39715	16745.6	55.12163	8055.0	6.98	9771.0	5.06
516820	6311.6	44.53482	7921.6	84.93365	17119.7	58.49032	8102.0	6.86	10055.0	4.98
516840	6863.3	45.83525	7061.8	86.20701	17428.9	62.94629	8678.0	6.92	9801.0	5.08
516860	6655.4	44.68719	7230.2	83.44125	17467.7	59.50716	7983.0	6.73	9475.0	4.94
516880	6609.4	44.61860	7223.8	88.17640	17520.7	60.24570	7938.0	6.99	9540.0	5.00
516900	6398.4	43.26812	7627.3	88.94550	17327.7	57.88622	7810.0	7.06	9888.0	4.91
